TN,TX,TAVG,RH_AVG,SS,RR_lag1,TAVG_lag1,RH_AVG_lag1,SS_lag1,TX_lag1,TN_lag1,RR_rolling_mean_3d_lag1,RR_KAT_ENC
25.1,29.3,27.3,83.0,7.8,19.1,27.1,87.0,5.2,30.0,25.2,8.266666666666664,4
25.5,31.0,27.1,82.0,2.3,0.0,27.3,83.0,7.8,29.3,25.1,7.466666666666664,1
25.6,30.0,27.6,80.0,7.2,0.6,27.1,82.0,2.3,31.0,25.5,6.566666666666664,1
24.5,29.6,27.3,79.0,9.0,0.3,27.6,80.0,7.2,30.0,25.6,0.29999999999999644,1
25.8,29.5,27.2,82.0,9.4,4.8,27.3,79.0,9.0,29.6,24.5,1.8999999999999961,1
25.0,30.2,26.5,85.0,9.3,0.1,27.2,82.0,9.4,29.5,25.8,1.7333333333333298,1
25.0,30.0,27.4,83.0,7.5,3.0,26.5,85.0,9.3,30.2,25.0,2.6333333333333298,1
24.7,29.8,26.9,82.0,8.2,3.0,27.4,83.0,7.5,30.0,25.0,2.0333333333333297,1
25.4,29.8,27.4,79.0,9.0,3.0,26.9,82.0,8.2,29.8,24.7,3.0,4
24.6,29.7,26.7,82.0,6.0,0.0,27.4,79.0,9.0,29.8,25.4,1.9999999999999964,4
25.1,30.0,27.5,75.0,6.85,0.0,26.7,82.0,6.0,29.7,24.6,0.9999999999999964,1
25.2,30.0,26.7,76.0,10.0,3.0,27.5,75.0,6.85,30.0,25.1,0.9999999999999964,4
25.2,29.4,26.8,81.0,8.4,0.0,26.7,76.0,10.0,30.0,25.2,0.9999999999999964,1
24.8,30.2,27.4,83.0,5.8,3.0,26.8,81.0,8.4,29.4,25.2,1.9999999999999964,1
25.7,29.6,27.2,77.0,6.3,0.8,27.4,83.0,5.8,30.2,24.8,1.266666666666663,4
25.8,29.4,26.7,79.0,6.2,0.0,27.2,77.0,6.3,29.6,25.7,1.266666666666663,4
25.0,29.7,26.9,80.0,6.2,0.0,26.7,79.0,6.2,29.4,25.8,0.2666666666666631,1
25.0,29.4,26.1,84.0,6.3,3.0,26.9,80.0,6.2,29.7,25.0,0.9999999999999964,1
24.2,29.4,27.2,85.0,3.5,4.6,26.1,84.0,6.3,29.4,25.0,2.5333333333333297,1
25.1,29.6,27.3,83.0,8.1,6.6,27.2,85.0,3.5,29.4,24.2,4.73333333333333,1
25.2,29.4,26.7,79.0,8.4,0.1,27.3,83.0,8.1,29.6,25.1,3.7666666666666626,4
24.0,29.7,27.0,79.0,9.8,0.0,26.7,79.0,8.4,29.4,25.2,2.2333333333333294,1
25.6,29.8,27.1,83.0,9.6,1.5,27.0,79.0,9.8,29.7,24.0,0.5333333333333298,1
25.7,29.6,27.0,83.0,8.5,3.0,27.1,83.0,9.6,29.8,25.6,1.4999999999999964,1
